PlantID,Ecotype ID,Ecotype Name,TrayPosition,GerminationID,ExperimentID,GrowthLocation,Pot Number,Seed Location
35001,8352,Oy-0,1A1,BVZ0071,BVZ0073,NCRIS CH36,1,1A1
35002,7373,Tsu-0,1A2,BVZ0071,BVZ0073,NCRIS CH36,2,1A2
35003,7165,Hn-0,1A3,BVZ0071,BVZ0073,NCRIS CH36,3,1A3
35004,7135,Fr-4,1A4,BVZ0071,BVZ0073,NCRIS CH36,4,1A4
35005,5122,UKSE06-278,1A5,BVZ0071,BVZ0073,NCRIS CH36,5,1A5
35006,8279,Col-0,1B1,BVZ0071,BVZ0073,NCRIS CH36,6,1A6
35007,8313,Jm-0,1B2,BVZ0071,BVZ0073,NCRIS CH36,7,1A7
35008,8260,Bay-0,1B3,BVZ0071,BVZ0073,NCRIS CH36,8,1A8
35009,7109,Ema-1,1B4,BVZ0071,BVZ0073,NCRIS CH36,9,1A9
35010,7028,Bch-1,1B5,BVZ0071,BVZ0073,NCRIS CH36,10,1B1
35011,7411,Wl-0,1C1,BVZ0071,BVZ0073,NCRIS CH36,11,1B2
35012,8364,Ra-0,1C2,BVZ0071,BVZ0073,NCRIS CH36,12,1B3
35013,8261,Bg-2,1C3,BVZ0071,BVZ0073,NCRIS CH36,13,1B4
35014,,npq4,1C4,BVZ0071,BVZ0073,NCRIS CH36,14,1B5
35015,260,PAR-5,1C5,BVZ0071,BVZ0073,NCRIS CH36,15,1B6
35016,7328,Sf-2,1D1,BVZ0071,BVZ0073,NCRIS CH36,16,1D2
35017,8281,cvi,1D2,BVZ0071,BVZ0073,NCRIS CH36,17,2A3
35018,8324,Ler-1,1D3,BVZ0071,BVZ0073,NCRIS CH36,18,2A2
35019,8279,Col-0,1D4,BVZ0071,BVZ0073,NCRIS CH36,19,1A6
35020,7026,Boot-1,2A1,BVZ0071,BVZ0073,NCRIS CH36,22,1B7
35021,7405,Wc-2,2A2,BVZ0071,BVZ0073,NCRIS CH36,21,1B8
35022,5832,App1-16,2A3,BVZ0071,BVZ0073,NCRIS CH36,23,1B9
35023,7344,Sg-1,2A4,BVZ0071,BVZ0073,NCRIS CH36,24,1C1
35024,7418,Zu-1,2A5,BVZ0071,BVZ0073,NCRIS CH36,25,1C2
35025,7029,Bch-3,2B1,BVZ0071,BVZ0073,NCRIS CH36,26,1C3
35026,8338,Mr-0,2B2,BVZ0071,BVZ0073,NCRIS CH36,27,1C4
35027,374,TOU-H-13,2B3,BVZ0071,BVZ0073,NCRIS CH36,28,1C5
35028,6008,Duk,2B4,BVZ0071,BVZ0073,NCRIS CH36,29,1C6
35029,8242,Lillo-1,2B5,BVZ0071,BVZ0073,NCRIS CH36,30,1C7
35030,8296,Gd-1,2C1,BVZ0071,BVZ0073,NCRIS CH36,31,1C8
35031,8273,C24,2C2,BVZ0071,BVZ0073,NCRIS CH36,32,1C9
35032,8426,Ull1-1,2C3,BVZ0071,BVZ0073,NCRIS CH36,33,1D3
35033,6042,Lom1-1,2C4,BVZ0071,BVZ0073,NCRIS CH36,34,1D4
35034,5056,UKSE06-192,2C5,BVZ0071,BVZ0073,NCRIS CH36,35,1D5
35035,7328,Sf-2,2D1,BVZ0071,BVZ0073,NCRIS CH36,36,1D2
35036,8281,cvi,2D2,BVZ0071,BVZ0073,NCRIS CH36,37,2A3
35037,8324,Ler-1,2D3,BVZ0071,BVZ0073,NCRIS CH36,38,2A2
35038,8279,Col-0,2D4,BVZ0071,BVZ0073,NCRIS CH36,39,1A6
35039,7004,Bs-2,3A1,BVZ0071,BVZ0073,NCRIS CH36,41,1D6
35040,259,PAR-4,3A2,BVZ0071,BVZ0073,NCRIS CH36,42,1D7
35041,7239,Li-2,3A3,BVZ0071,BVZ0073,NCRIS CH36,43,1D8
35042,8400,Van-0,3A4,BVZ0071,BVZ0073,NCRIS CH36,44,1D9
35043,178,MIB-28,3A5,BVZ0071,BVZ0073,NCRIS CH36,45,1.00E+01
35044,7013,Bd-0,3B1,BVZ0071,BVZ0073,NCRIS CH36,46,1.00E+02
35045,8310,Hs-0,3B2,BVZ0071,BVZ0073,NCRIS CH36,47,1.00E+04
35046,7508,PHW-37,3B3,BVZ0071,BVZ0073,NCRIS CH36,48,1.00E+05
35047,7210,La-1,3B4,BVZ0071,BVZ0073,NCRIS CH36,49,1.00E+06
35048,7291,Pa-2,3B5,BVZ0071,BVZ0073,NCRIS CH36,50,1.00E+07
35049,6994,Ann-1,3C1,BVZ0071,BVZ0073,NCRIS CH36,51,1.00E+08
35050,7282,Or-0,3C2,BVZ0071,BVZ0073,NCRIS CH36,52,1.00E+09
35051,7355,Tiv-1,3C3,BVZ0071,BVZ0073,NCRIS CH36,53,1F1
35052,7176,Is-1,3C4,BVZ0071,BVZ0073,NCRIS CH36,54,1F2
35053,6727,CIBC-2,3C5,BVZ0071,BVZ0073,NCRIS CH36,55,1F4
35054,7328,Sf-2,3D1,BVZ0071,BVZ0073,NCRIS CH36,56,1D2
35055,8281,cvi,3D2,BVZ0071,BVZ0073,NCRIS CH36,57,2A3
35056,8324,Ler-1,3D3,BVZ0071,BVZ0073,NCRIS CH36,58,2A2
35057,8279,Col-0,3D4,BVZ0071,BVZ0073,NCRIS CH36,59,1A6
35058,8385,Sq-8,4A1,BVZ0071,BVZ0073,NCRIS CH36,61,1F5
35059,362,TOU-C-3,4A2,BVZ0071,BVZ0073,NCRIS CH36,62,1F6
35060,8269,Br-0,4A3,BVZ0071,BVZ0073,NCRIS CH36,63,1F7
35061,8333,Lp2-6,4A4,BVZ0071,BVZ0073,NCRIS CH36,64,1F8
35062,7301,Pla-1,4A5,BVZ0071,BVZ0073,NCRIS CH36,65,1F9
35063,8294,Fei-0,4B1,BVZ0071,BVZ0073,NCRIS CH36,66,1G1
35064,7386,Vi-0,4B2,BVZ0071,BVZ0073,NCRIS CH36,67,1G2
35065,8234,Gul1-2,4B3,BVZ0071,BVZ0073,NCRIS CH36,68,1G3
35066,7143,Gel-1,4B4,BVZ0071,BVZ0073,NCRIS CH36,69,1G4
35067,149,LDV-58,4B5,BVZ0071,BVZ0073,NCRIS CH36,70,1G5
35068,8406,Ws-2,4C1,BVZ0071,BVZ0073,NCRIS CH36,71,1G6
35069,5987,DraIV 6-16,4C2,BVZ0071,BVZ0073,NCRIS CH36,72,1G7
35070,7000,Aa-0,4C3,BVZ0071,BVZ0073,NCRIS CH36,73,1G8
35071,7102,Do-0,4C4,BVZ0071,BVZ0073,NCRIS CH36,74,1G9
35072,7195,Kl-1,4C5,BVZ0071,BVZ0073,NCRIS CH36,75,1H1
35073,7328,Sf-2,4D1,BVZ0071,BVZ0073,NCRIS CH36,76,1D2
35074,8281,cvi,4D2,BVZ0071,BVZ0073,NCRIS CH36,77,2A3
35075,8324,Ler-1,4D3,BVZ0071,BVZ0073,NCRIS CH36,78,2A2
35076,8279,Col-0,4D4,BVZ0071,BVZ0073,NCRIS CH36,79,1A6
35077,8243,PHW-2,5A1,BVZ0071,BVZ0073,NCRIS CH36,81,1H2
35078,7030,Bch-4,5A2,BVZ0071,BVZ0073,NCRIS CH36,82,1H3
35079,8322,Kz-9,5A3,BVZ0071,BVZ0073,NCRIS CH36,83,1H4
35080,7381,Uk-4,5A4,BVZ0071,BVZ0073,NCRIS CH36,84,1H5
35081,7382,Utrecht,5A5,BVZ0071,BVZ0073,NCRIS CH36,85,1H6
35082,7507,PHW-36,5B1,BVZ0071,BVZ0073,NCRIS CH36,86,1H7
35083,328,TOU-A1-62,5B2,BVZ0071,BVZ0073,NCRIS CH36,87,1H8
35084,8389,Ta-0,5B3,BVZ0071,BVZ0073,NCRIS CH36,88,1H9
35085,7504,PHW-33,5B4,BVZ0071,BVZ0073,NCRIS CH36,89,1I1
35086,5202,UKSE06-414,5B5,BVZ0071,BVZ0073,NCRIS CH36,90,1I2
35087,8236,HSm,5C1,BVZ0071,BVZ0073,NCRIS CH36,91,1I3
35088,7277,Ob-1,5C2,BVZ0071,BVZ0073,NCRIS CH36,92,1I4
35089,8308,HR-10,5C3,BVZ0071,BVZ0073,NCRIS CH36,93,1I5
35090,7078,Co-2,5C4,BVZ0071,BVZ0073,NCRIS CH36,94,1I7
35091,8253,An-1,5C5,BVZ0071,BVZ0073,NCRIS CH36,95,1I8
35092,7328,Sf-2,5D1,BVZ0071,BVZ0073,NCRIS CH36,96,1D2
35093,8281,cvi,5D2,BVZ0071,BVZ0073,NCRIS CH36,97,2A3
35094,8324,Ler-1,5D3,BVZ0071,BVZ0073,NCRIS CH36,98,2A2
35095,8279,Col-0,5D4,BVZ0071,BVZ0073,NCRIS CH36,99,1A6
35096,8271,Bu-0,6A1,BVZ0071,BVZ0073,NCRIS CH36,101,1I9
35097,6729,CIBC-4,6A2,BVZ0071,BVZ0073,NCRIS CH36,102,2A1
35098,8324,Ler-1,6A3,BVZ0071,BVZ0073,NCRIS CH36,103,2A2
35099,8281,cvi,6A4,BVZ0071,BVZ0073,NCRIS CH36,104,2A3
35100,7021,Bla-3,6A5,BVZ0071,BVZ0073,NCRIS CH36,105,2A4
35101,6190,TDr-3,6B1,BVZ0071,BVZ0073,NCRIS CH36,106,2A6
35102,7113,Ei-4,6B2,BVZ0071,BVZ0073,NCRIS CH36,107,2A7
35103,7265,Nd-0,6B3,BVZ0071,BVZ0073,NCRIS CH36,108,2A8
35104,8258,Ba4-1,6B4,BVZ0071,BVZ0073,NCRIS CH36,109,2A9
35105,7351,Ty-0,6B5,BVZ0071,BVZ0073,NCRIS CH36,110,2B1
35106,5606,UKNW06-436,6C1,BVZ0071,BVZ0073,NCRIS CH36,111,2B2
35107,7158,Gr-5,6C2,BVZ0071,BVZ0073,NCRIS CH36,112,2B3
35108,8393,Ts-5,6C3,BVZ0071,BVZ0073,NCRIS CH36,113,2B5
35109,7110,Ede-1,6C4,BVZ0071,BVZ0073,NCRIS CH36,114,2B6
35110,6039,Hovdala-2,6C5,BVZ0071,BVZ0073,NCRIS CH36,115,2B8
35111,7328,Sf-2,6D1,BVZ0071,BVZ0073,NCRIS CH36,116,1D2
35112,8281,cvi,6D2,BVZ0071,BVZ0073,NCRIS CH36,117,2A3
35113,8324,Ler-1,6D3,BVZ0071,BVZ0073,NCRIS CH36,118,2A2
35114,8279,Col-0,6D4,BVZ0071,BVZ0073,NCRIS CH36,119,1A6
35115,8381,Sorbo,7A1,BVZ0071,BVZ0073,NCRIS CH36,122,2B9
35116,7337,Si-0,7A2,BVZ0071,BVZ0073,NCRIS CH36,123,2C1
35117,8256,Ba1-2,7A3,BVZ0071,BVZ0073,NCRIS CH36,124,2C2
35118,8247,San-2,7A4,BVZ0071,BVZ0073,NCRIS CH36,125,2C3
35119,7128,Est-0,7A5,BVZ0071,BVZ0073,NCRIS CH36,126,2C4
35120,7139,Fi-1,7B1,BVZ0071,BVZ0073,NCRIS CH36,127,2C5
35121,7178,Jm-1,7B2,BVZ0071,BVZ0073,NCRIS CH36,128,2C6
35122,7031,Bsch-0,7B3,BVZ0071,BVZ0073,NCRIS CH36,129,2C7
35123,7079,Co-3,7B4,BVZ0071,BVZ0073,NCRIS CH36,130,2C8
35124,7280,Old-1,7B5,BVZ0071,BVZ0073,NCRIS CH36,131,2C9
35125,96,LAC-5,7C1,BVZ0071,BVZ0073,NCRIS CH36,132,2D1
35126,8289,Ei-2,7C2,BVZ0071,BVZ0073,NCRIS CH36,133,2D2
35127,8374,Rsch-4,7C3,BVZ0071,BVZ0073,NCRIS CH36,134,2D3
35128,8278,Co,7C4,BVZ0071,BVZ0073,NCRIS CH36,135,2D4
35129,7229,Li-6,7C5,BVZ0071,BVZ0073,NCRIS CH36,136,2D5
35130,8281,cvi,7D2,BVZ0071,BVZ0073,NCRIS CH36,137,2A3
35131,8324,Ler-1,7D3,BVZ0071,BVZ0073,NCRIS CH36,138,2A2
35132,8279,Col-0,7D4,BVZ0071,BVZ0073,NCRIS CH36,139,1A6
35133,8395,Tu-0,8A1,BVZ0071,BVZ0073,NCRIS CH36,141,2D6
35134,7015,Bla-1,8A2,BVZ0071,BVZ0073,NCRIS CH36,142,2D7
35135,7260,Nw-2,8A3,BVZ0071,BVZ0073,NCRIS CH36,143,2D8
35136,7145,Ge-1,8A4,BVZ0071,BVZ0073,NCRIS CH36,144,2D9
35137,,lut2,8A5,BVZ0071,BVZ0073,NCRIS CH36,145,2.00E+01
35138,8340,Ms-0,8B1,BVZ0071,BVZ0073,NCRIS CH36,146,2.00E+02
35139,8334,Lu-1,8B2,BVZ0071,BVZ0073,NCRIS CH36,147,2.00E+03
35140,7238,Ll-1,8B3,BVZ0071,BVZ0073,NCRIS CH36,148,2.00E+04
35141,7309,Po-1,8B4,BVZ0071,BVZ0073,NCRIS CH36,149,2.00E+05
35142,6016,Eds-1,8B5,BVZ0071,BVZ0073,NCRIS CH36,150,2.00E+06
35143,8303,H55,8C1,BVZ0071,BVZ0073,NCRIS CH36,151,2.00E+07
35144,7376,Tu-1,8C2,BVZ0071,BVZ0073,NCRIS CH36,152,2.00E+09
35145,7430,Nc-1,8C3,BVZ0071,BVZ0073,NCRIS CH36,153,2F1
35146,383,TOU-J-3,8C4,BVZ0071,BVZ0073,NCRIS CH36,154,2F2
35147,7413,Wil-2,8C5,BVZ0071,BVZ0073,NCRIS CH36,155,2F3
35148,7328,Sf-2,8D1,BVZ0071,BVZ0073,NCRIS CH36,156,1D2
35149,8281,cvi,8D2,BVZ0071,BVZ0073,NCRIS CH36,157,2A3
35150,8324,Ler-1,8D3,BVZ0071,BVZ0073,NCRIS CH36,158,2A2
35151,8279,Col-0,8D4,BVZ0071,BVZ0073,NCRIS CH36,159,1A6
35152,7479,PHW-10,9A1,BVZ0071,BVZ0073,NCRIS CH36,161,2F4
35153,641,LI-OF-095,9A2,BVZ0071,BVZ0073,NCRIS CH36,162,2F6
35154,6810,KNO-11,9A3,BVZ0071,BVZ0073,NCRIS CH36,163,2F7
35155,8241,Liarum,9A4,BVZ0071,BVZ0073,NCRIS CH36,164,2F8
35156,281,TOU-A1-115,9A5,BVZ0071,BVZ0073,NCRIS CH36,165,2F9
35157,7457,RLD-2,9B1,BVZ0071,BVZ0073,NCRIS CH36,166,2G1
35158,8420,Kelsterbach-4,9B2,BVZ0071,BVZ0073,NCRIS CH36,167,2G2
35159,7044,Bu-2,9B3,BVZ0071,BVZ0073,NCRIS CH36,168,2G3
35160,8384,Sq-1,9B4,BVZ0071,BVZ0073,NCRIS CH36,169,2G4
35161,8337,Mir-0,9B5,BVZ0071,BVZ0073,NCRIS CH36,170,2G5
35162,5160,UKSE06-351,9C1,BVZ0071,BVZ0073,NCRIS CH36,171,2G7
35163,7284,Ors-2,9C2,BVZ0071,BVZ0073,NCRIS CH36,172,2G8
35164,7149,Gu-0,9C3,BVZ0071,BVZ0073,NCRIS CH36,173,2G9
35165,7116,Eil-0,9C4,BVZ0071,BVZ0073,NCRIS CH36,174,2H1
35166,8274,Can-0,9C5,BVZ0071,BVZ0073,NCRIS CH36,175,2H2
35167,7328,Sf-2,9D1,BVZ0071,BVZ0073,NCRIS CH36,176,1D2
35168,8281,cvi,9D2,BVZ0071,BVZ0073,NCRIS CH36,177,2A3
35169,8324,Ler-1,9D3,BVZ0071,BVZ0073,NCRIS CH36,178,2A2
35170,8279,Col-0,9D4,BVZ0071,BVZ0073,NCRIS CH36,179,1A6
35171,173,MIB-22,10A1,BVZ0071,BVZ0073,NCRIS CH36,181,2H3
35172,6989,Alst-1,10A2,BVZ0071,BVZ0073,NCRIS CH36,182,2H4
35173,8321,Kz-13,10A3,BVZ0071,BVZ0073,NCRIS CH36,183,2H5
35174,7227,Li-5:2,10A4,BVZ0071,BVZ0073,NCRIS CH36,184,2H6
35175,8336,Lz-0,10A5,BVZ0071,BVZ0073,NCRIS CH36,185,2H7
35176,7228,Li-5:3,10B1,BVZ0071,BVZ0073,NCRIS CH36,186,2H8
35177,7310,Pr-0,10B2,BVZ0071,BVZ0073,NCRIS CH36,187,2H9
35178,8339,Mrk-0,10B3,BVZ0071,BVZ0073,NCRIS CH36,188,2I1
35179,7186,Kn-0,10B4,BVZ0071,BVZ0073,NCRIS CH36,189,2I3
35180,6096,T1060,10B5,BVZ0071,BVZ0073,NCRIS CH36,190,2I4
35181,8342,Mz-0,10C1,BVZ0071,BVZ0073,NCRIS CH36,191,2I5
35182,8270,Bs-1,10C2,BVZ0071,BVZ0073,NCRIS CH36,192,2I6
35183,7378,Uk-1,10C3,BVZ0071,BVZ0073,NCRIS CH36,193,2I7
35184,7300,Pla-0,10C4,BVZ0071,BVZ0073,NCRIS CH36,194,2I8
35185,6996,An-2,10C5,BVZ0071,BVZ0073,NCRIS CH36,195,2I9
35186,7328,Sf-2,10D1,BVZ0071,BVZ0073,NCRIS CH36,196,1D2
35187,8281,cvi,10D2,BVZ0071,BVZ0073,NCRIS CH36,197,2A3
35188,8324,Ler-1,10D3,BVZ0071,BVZ0073,NCRIS CH36,198,2A2
35189,8279,Col-0,10D4,BVZ0071,BVZ0073,NCRIS CH36,199,1A6
35190,7333,Sei-0,11A1,BVZ0071,BVZ0073,NCRIS CH36,201,3A1
35191,8291,Est-1,11A2,BVZ0071,BVZ0073,NCRIS CH36,202,3A2
35192,8295,Ga-0,11A3,BVZ0071,BVZ0073,NCRIS CH36,203,3A3
35193,8248,Shahdara,11A4,BVZ0071,BVZ0073,NCRIS CH36,204,3A4
35194,7404,Wc-1,11A5,BVZ0071,BVZ0073,NCRIS CH36,205,3A5
35195,9057,Vinslov,11B1,BVZ0071,BVZ0073,NCRIS CH36,206,3A6
35196,7408,Wt-3,11B2,BVZ0071,BVZ0073,NCRIS CH36,207,3A7
35197,7062,Ca-0,11B3,BVZ0071,BVZ0073,NCRIS CH36,208,3A8
35198,6243,Tottarp-2,11B4,BVZ0071,BVZ0073,NCRIS CH36,209,3A9
35199,7098,Di-1,11B5,BVZ0071,BVZ0073,NCRIS CH36,210,3B1
35200,7292,Pa-3,11C1,BVZ0071,BVZ0073,NCRIS CH36,211,3B2
35201,7206,Kro-0,11C2,BVZ0071,BVZ0073,NCRIS CH36,212,3B3
35202,8368,Ren-11,11C3,BVZ0071,BVZ0073,NCRIS CH36,213,3B4
35203,8392,Ts-1,11C4,BVZ0071,BVZ0073,NCRIS CH36,214,3B5
35204,8309,HR-5,11C5,BVZ0071,BVZ0073,NCRIS CH36,215,3B6
35205,7328,Sf-2,11D1,BVZ0071,BVZ0073,NCRIS CH36,216,1D2
35206,8281,cvi,11D2,BVZ0071,BVZ0073,NCRIS CH36,217,2A3
35207,8324,Ler-1,11D3,BVZ0071,BVZ0073,NCRIS CH36,218,2A2
35208,8279,Col-0,11D4,BVZ0071,BVZ0073,NCRIS CH36,219,1A6
35209,5785,UKID80,12A1,BVZ0071,BVZ0073,NCRIS CH36,221,3B7
35210,7115,Ei-6,12A2,BVZ0071,BVZ0073,NCRIS CH36,222,3B8
35211,8281,cvi-0,12A3,BVZ0071,BVZ0073,NCRIS CH36,223,3B9
35212,8312,Is-0,12A4,BVZ0071,BVZ0073,NCRIS CH36,224,3C1
35213,373,TOU-H-12,12A5,BVZ0071,BVZ0073,NCRIS CH36,225,3C2
35214,7340,Sav-0,12B1,BVZ0071,BVZ0073,NCRIS CH36,226,3C3
35215,8251,Ag-0,12B2,BVZ0071,BVZ0073,NCRIS CH36,227,3C5
35216,8222,Lis-2,12B3,BVZ0071,BVZ0073,NCRIS CH36,228,3C6
35217,8429,N13,12B4,BVZ0071,BVZ0073,NCRIS CH36,229,3C7
35218,6449,ZdrI 2-25,12B5,BVZ0071,BVZ0073,NCRIS CH36,230,3C8
35219,6169,TAD 01,12C1,BVZ0071,BVZ0073,NCRIS CH36,231,3C9
35220,5158,UKSE06-349,12C2,BVZ0071,BVZ0073,NCRIS CH36,232,3D1
35221,7299,Pi-2,12C3,BVZ0071,BVZ0073,NCRIS CH36,233,3D2
35222,5742,UKID37,12C4,BVZ0071,BVZ0073,NCRIS CH36,234,3D3
35223,7256,Mh-1,12C5,BVZ0071,BVZ0073,NCRIS CH36,235,3D4
35224,7328,Sf-2,12D1,BVZ0071,BVZ0073,NCRIS CH36,236,1D2
35225,8281,cvi,12D2,BVZ0071,BVZ0073,NCRIS CH36,237,2A3
35226,8324,Ler-1,12D3,BVZ0071,BVZ0073,NCRIS CH36,238,2A2
35227,8279,Col-0,12D4,BVZ0071,BVZ0073,NCRIS CH36,239,1A6
35228,7397,Ws,13A1,BVZ0071,BVZ0073,NCRIS CH36,241,3D5
35229,8388,Stw-0,13A2,BVZ0071,BVZ0073,NCRIS CH36,242,3D6
35230,7032,Bsch-2,13A3,BVZ0071,BVZ0073,NCRIS CH36,243,3D7
35231,7025,Bl-1,13A4,BVZ0071,BVZ0073,NCRIS CH36,244,3D8
35232,8264,Bla-1,13A5,BVZ0071,BVZ0073,NCRIS CH36,245,3D9
35233,2274,SLSP-30,13B1,BVZ0071,BVZ0073,NCRIS CH36,246,3.00E+01
35234,7352,Te-0,13B2,BVZ0071,BVZ0073,NCRIS CH36,247,3.00E+02
35235,8404,Wei-0,13B3,BVZ0071,BVZ0073,NCRIS CH36,248,3.00E+04
35236,378,TOU-I-17,13B4,BVZ0071,BVZ0073,NCRIS CH36,249,3.00E+05
35237,5753,UKID48,13B5,BVZ0071,BVZ0073,NCRIS CH36,250,3.00E+06
35238,8796,11PNA4.101,13C1,BVZ0071,BVZ0073,NCRIS CH36,251,3.00E+07
35239,6194,TDr-8,13C2,BVZ0071,BVZ0073,NCRIS CH36,252,3.00E+08
35240,8407,Wt-5,13C3,BVZ0071,BVZ0073,NCRIS CH36,253,3.00E+09
35241,7255,Mh-0,13C4,BVZ0071,BVZ0073,NCRIS CH36,254,3F1
35242,8396,Ull2-3,13C5,BVZ0071,BVZ0073,NCRIS CH36,255,3F2
35243,7328,Sf-2,13D1,BVZ0071,BVZ0073,NCRIS CH36,256,1D2
35244,8281,cvi,13D2,BVZ0071,BVZ0073,NCRIS CH36,257,2A3
35245,8324,Ler-1,13D3,BVZ0071,BVZ0073,NCRIS CH36,258,2A2
35246,8279,Col-0,13D4,BVZ0071,BVZ0073,NCRIS CH36,259,1A6
35247,7106,Dr-0,14A1,BVZ0071,BVZ0073,NCRIS CH36,261,3F4
35248,7199,Kl-5,14A2,BVZ0071,BVZ0073,NCRIS CH36,262,3F5
35249,7353,Tha-1,14A3,BVZ0071,BVZ0073,NCRIS CH36,263,3F6
35250,8304,Hi-0,14A4,BVZ0071,BVZ0073,NCRIS CH36,264,3F7
35251,6744,CSHL-5,14A5,BVZ0071,BVZ0073,NCRIS CH36,265,3F8
35252,6318,UduI 1-34,14B1,BVZ0071,BVZ0073,NCRIS CH36,266,3F9
35253,8409,Zdr-1,14B2,BVZ0071,BVZ0073,NCRIS CH36,267,3G1
35254,66,CAM-61,14B3,BVZ0071,BVZ0073,NCRIS CH36,268,3G2
35255,7169,Hh-0,14B4,BVZ0071,BVZ0073,NCRIS CH36,269,3G3
35256,8398,Uod-1,14B5,BVZ0071,BVZ0073,NCRIS CH36,270,3G4
35257,7392,Wag-5,14C1,BVZ0071,BVZ0073,NCRIS CH36,271,3G5
35258,8280,Ct-1,14C2,BVZ0071,BVZ0073,NCRIS CH36,272,3G6
35259,386,TOU-K-3,14C3,BVZ0071,BVZ0073,NCRIS CH36,273,3G8
35260,7297,Pf-0,14C4,BVZ0071,BVZ0073,NCRIS CH36,274,3G9
35261,7192,Kil-0,14C5,BVZ0071,BVZ0073,NCRIS CH36,275,3H1
35262,7328,Sf-2,14D1,BVZ0071,BVZ0073,NCRIS CH36,276,1D2
35263,8281,cvi,14D2,BVZ0071,BVZ0073,NCRIS CH36,277,2A3
35264,8324,Ler-1,14D3,BVZ0071,BVZ0073,NCRIS CH36,278,2A2
35265,8279,Col-0,14D4,BVZ0071,BVZ0073,NCRIS CH36,279,1A6
35266,8610,11ME1.32,15A1,BVZ0071,BVZ0073,NCRIS CH36,282,3H2
35267,6020,FjA1-5,15A2,BVZ0071,BVZ0073,NCRIS CH36,283,3H3
35268,8387,St-0,15A3,BVZ0071,BVZ0073,NCRIS CH36,284,3H4
35269,7151,Go-0,15A4,BVZ0071,BVZ0073,NCRIS CH36,285,3H5
35270,7163,Ha-0,15A5,BVZ0071,BVZ0073,NCRIS CH36,286,3H6
35271,8259,Ba5-1,15B1,BVZ0071,BVZ0073,NCRIS CH36,287,3H7
35272,7483,PHW1-4,15B2,BVZ0071,BVZ0073,NCRIS CH36,288,3H8
35273,8288,Edi-0,15B3,BVZ0071,BVZ0073,NCRIS CH36,289,3H9
35274,8343,Na-1,15B4,BVZ0071,BVZ0073,NCRIS CH36,290,3I1
35275,5837,Bor-1,15B5,BVZ0071,BVZ0073,NCRIS CH36,291,3I2
35276,8350,Omo2-3,15C1,BVZ0071,BVZ0073,NCRIS CH36,292,3I3
35277,6005,DraIV 6-35,15C2,BVZ0071,BVZ0073,NCRIS CH36,293,3I4
35278,7024,Bla-6,15C3,BVZ0071,BVZ0073,NCRIS CH36,294,3I6
35279,8360,Pro-0,15C4,BVZ0071,BVZ0073,NCRIS CH36,295,3I7
35280,8344,Nd-1,15C5,BVZ0071,BVZ0073,NCRIS CH36,296,3I8
35281,8281,cvi,15D2,BVZ0071,BVZ0073,NCRIS CH36,297,2A3
35282,8324,Ler-1,15D3,BVZ0071,BVZ0073,NCRIS CH36,298,2A2
35283,8279,Col-0,15D4,BVZ0071,BVZ0073,NCRIS CH36,299,1A6
35284,,npq1,16A1,BVZ0071,BVZ0073,NCRIS CH36,301,3I9
35285,6987,Ak-1,16A2,BVZ0071,BVZ0073,NCRIS CH36,302,5A3
35286,6990,Amel-1,16A3,BVZ0071,BVZ0073,NCRIS CH36,303,5A5
35287,6992,Ang-0,16A4,BVZ0071,BVZ0073,NCRIS CH36,304,5A7
35288,7002,Baa-1,16A5,BVZ0071,BVZ0073,NCRIS CH36,305,5B2
35289,7011,Be-1,16B1,BVZ0071,BVZ0073,NCRIS CH36,306,5B7
35290,7069,Cha-0,16B2,BVZ0071,BVZ0073,NCRIS CH36,307,5D5
35291,7071,Chat-1,16B3,BVZ0071,BVZ0073,NCRIS CH36,308,5D6
35292,7073,Chi-1,16B4,BVZ0071,BVZ0073,NCRIS CH36,309,5D7
35293,7080,Co-4,16B5,BVZ0071,BVZ0073,NCRIS CH36,310,5.00E+06
35294,7092,Com-1,16C1,BVZ0071,BVZ0073,NCRIS CH36,311,5.00E+08
35295,7094,Da-0,16C2,BVZ0071,BVZ0073,NCRIS CH36,312,5.00E+09
35296,7104,Dra-1,16C3,BVZ0071,BVZ0073,NCRIS CH36,313,5F6
35297,7123,Ep-0,16C4,BVZ0071,BVZ0073,NCRIS CH36,314,5G6
35298,7172,Hl-3,16C5,BVZ0071,BVZ0073,NCRIS CH36,315,5I6
35299,7328,Sf-2,16D1,BVZ0071,BVZ0073,NCRIS CH36,316,1D2
35300,8281,cvi,16D2,BVZ0071,BVZ0073,NCRIS CH36,317,2A3
35301,8324,Ler-1,16D3,BVZ0071,BVZ0073,NCRIS CH36,318,2A2
35302,8279,Col-0,16D4,BVZ0071,BVZ0073,NCRIS CH36,319,1A6
